metrical_shape,sedes,x,z
⏑–––⏑⏑––,6.5,7,
⏑–⏑,2.5,427,-2.11096369384348
⏑–⏑,4.5,2888,+0.45062355622873
⏑–⏑,6.5,69,-2.48359605285439
⏑–⏑,8.5,93,-2.45861511258551
⏑–⏑⏑,2.5,197,-5.67635021093187
⏑–⏑⏑,4.5,2,-5.82657503950109
⏑–⏑⏑,6.5,7793,+0.175484649641711
⏑–⏑⏑,8.5,41,-5.79653007378725
⏑–⏑⏑–,2.5,1246,-0.884204454294017
⏑–⏑⏑–,4.5,86,-3.72313256152613
⏑–⏑⏑–,6.5,1912,+0.74573185554787
⏑–⏑⏑–,8.5,1,-3.93115746593538
⏑–⏑⏑––,6.5,1,-2.23606797749979
⏑–⏑⏑––,8.5,5,+0.447213595499958
⏑–⏑⏑–––,2.5,3,
⏑–⏑⏑––––,6.5,1,
⏑–⏑⏑–⏑,2.5,315,-1.64461603566362
⏑–⏑⏑–⏑,6.5,852,+0.608044661072815
⏑–⏑⏑–⏑⏑,2.5,1,-10.4880884817015
⏑–⏑⏑–⏑⏑,6.5,110,+0.0953462589245598
⏑–⏑⏑–⏑⏑–,2.5,3,+0.577350269189626
⏑–⏑⏑–⏑⏑–,6.5,1,-1.73205080756888
⏑–⏑⏑–⏑⏑––,6.5,6,
⏑⏑,2,1170,-1.23437247343417
⏑⏑,4,2177,-0.746477716293297
⏑⏑,6,2059,-0.803649097964224
⏑⏑,8,5925,+1.06944040661039
⏑⏑,10,1502,-1.07351739958038
⏑⏑–,2,1162,-1.56970564100972
⏑⏑–,4,3116,-0.303517751049741
⏑⏑–,6,4979,+0.903702330319475
⏑⏑–,8,940,-1.71356117405533
⏑⏑–,10,52,-2.28898330623776
⏑⏑––,2,59,-3.96003751560123
⏑⏑––,4,9,-3.99891368254738
⏑⏑––,6,307,-3.76721172754827
⏑⏑––,8,4,-4.002801299242
⏑⏑––,10,5490,+0.262691738090653
⏑⏑–––,2,195,+0.76147836551224
⏑⏑–––,4,28,-2.10789152963472
⏑⏑–––,6,97,-0.922343489124896
⏑⏑––––,8,121,
⏑⏑–––––⏑⏑,2,1,
⏑⏑–––⏑,2,43,-1.4386686351834
⏑⏑–––⏑,6,89,+0.695087093403216
⏑⏑–––⏑⏑,6,10,
⏑⏑–––⏑⏑––,6,3,
⏑⏑–⏑,2,188,-3.14365164768604
⏑⏑–⏑,4,5355,+0.725795649207547
⏑⏑–⏑,6,28,-3.2634719626663
⏑⏑–⏑,8,2921,-1.09697089242957
⏑⏑–⏑⏑,2,43,-3.74262389171015
⏑⏑–⏑⏑,4,4,-3.80879263624074
⏑⏑–⏑⏑,6,2688,+0.744974295044151
⏑⏑–⏑⏑,8,1558,-1.17222266186789
⏑⏑–⏑⏑–,2,309,+0.759495564764645
⏑⏑–⏑⏑–,4,54,-1.43095247367461
⏑⏑–⏑⏑–,6,92,-1.10453276598563
⏑⏑–⏑⏑–,8,35,-1.59416232751911
⏑⏑–⏑⏑––,8,122,
⏑⏑–⏑⏑–––,2,1,
⏑⏑–⏑⏑–⏑,2,31,-1.09249640141136
⏑⏑–⏑⏑–⏑,6,37,+0.915334822804113
⏑⏑–⏑⏑–⏑⏑,2,1,-2.13334973746974
⏑⏑–⏑⏑–⏑⏑,4,4,-1.1921660297625
⏑⏑–⏑⏑–⏑⏑,6,10,+0.690201385651975
⏑⏑–⏑⏑–⏑⏑–,2,1,
